file_name,SSC_Name
CCLOG65MCRIPB_PY_27651.xlsx,National
CCLOG24MCRIP_PY_D_27651.xlsx,National
CCLOG65MCRIPB_PY_27015.xlsx,National
CCLOG65MCRIPSWB_PY_36244.xlsx,National
CCLOG65MCROP_08409.xlsx,National
CCLOG65MCROP_08621.xlsx,National
CCLOG24MCRIP_PY_D_27657.xlsx,National
CCLOG24MCRIP_D_26990.xlsx,National
CCLOG24MCRIP_D_08625.xlsx,National
CCLOG24MCRIP_D_27640.xlsx,National
CCLOG65MCRIP_31052.xlsx,National
CCLOG65MCRIPB_PY_36244.xlsx,National
CCLOG65MCRIP_27657.xlsx,National
CCLOG24MCRIP_PY_D_27645.xlsx,National
CCLOG24MCRIP_PY_D_27115.xlsx,National
CCLOG24MCRIPB_PY_D_08625.xlsx,National
CCLOG65MCRIPB_PY_27645.xlsx,National
CCLOG65MCROP_30572.xlsx,National
CCLOG24MCRIPSWB_PY_D_31767.xlsx,National
CCLOG65MCROP_PY_27650.xlsx,National
CCLOG24MCRIPB_PY_D_27615.xlsx,National
CCLOG24MCRIP_D_25070.xlsx,National
CCLOG24MCRIPB_PY_D_27650.xlsx,National
CCLOG24MCRIPF_PY_D_34224.xlsx,National
CCLOG65MCRIPB_PY_27722.xlsx,National
CCLOG65MCRIPB_PY_08625.xlsx,National
CCLOG24MCRIP_D_31052.xlsx,National
CCLOG65MCRIPSWB_36244.xlsx,National
CCLOG65MCRIPB_30555.xlsx,National
CCLOG65MCRIP_27640.xlsx,National
CCLOG65MCRIPB_27640.xlsx,National
CCLOG24MCRIP_PY_D_27630.xlsx,National
CCLOG24MCRIP_PY_D_27650.xlsx,National
CCLOG65MCROP_PY_27615.xlsx,National
CCLOG65MCROPCAH_36244.xlsx,National
CCLOG24MCRIPB_D_34605.xlsx,National
CCLOG24MCRIPB_D_08621.xlsx,National
CCLOG24MCRIPB_PY_D_27630.xlsx,National
CCLOG24MCRIPB_D_27670.xlsx,National
CCLOG24MCRIPB_PY_D_27640.xlsx,National
CCLOG65MCRIP_PY_08621.xlsx,National
CCLOG24MCRIP_PY_D_26990.xlsx,National
CCLOG65MCRIPB_PY_27657.xlsx,National
CCLOG65MCRIPBCAH_36244.xlsx,National
CCLOG65MCRIP_PY_27657.xlsx,National
CCLOG65MCRIP_08625.xlsx,National
CCLOG65MCRIP_PY_36244.xlsx,National
CCLOG65MCRIPB_27657.xlsx,National
CCLOG24MCROP_PY_D_27015.xlsx,National
CCLOG65MCRIPB_30504.xlsx,National
CCLOG65MCRIP_PY_27615.xlsx,National
CCLOG65MCRIPBCAH_31767.xlsx,National
CCLOG24MCRIPB_PY_D_27722.xlsx,National
CCLOG65MCRIPB_PY_27635.xlsx,National
CCLOG24MCROPCAH_PY_D_31767.xlsx,National
CCLOG65MCRIPB_PY_27640.xlsx,National
CCLOG24MCRIP_PY_D_08625.xlsx,National
CCLOG65MCRIP_PY_27635.xlsx,National
CCLOG65MCRIPF_34224.xlsx,National
CCLOG24MCRIPB_D_25070.xlsx,National
CCLOG24MCRIPB_D_27630.xlsx,National
CCLOG65MCROP_08625.xlsx,National
CCLOG65MCRIP_27630.xlsx,National
CCLOG65MCRIPB_27650.xlsx,National
CCLOG65MCRIPB_27115.xlsx,National
CCLOG24MCRIP_D_27115.xlsx,National
CCLOG65MCRIPF_30572.xlsx,National
CCLOG24MCRIPB_PY_D_27635.xlsx,National
CCLOG24MCRIP_PY_D_27015.xlsx,National
CCLOG24MCRIPB_D_30504.xlsx,National
CCLOG24MCRIPB_D_08625.xlsx,National
CCLOG24MCROP_PY_D_27650.xlsx,National
CCLOG24MCRIP_PY_D_08409.xlsx,National
CCLOG65MCRIPB_08409.xlsx,National
CCLOG65MCRIPB_PY_31052.xlsx,National
CCLOG65MCRIPB_31201.xlsx,National
CCLOG65MCRIP_PY_08409.xlsx,National
CCLOG65MCRIPB_25016.xlsx,National
CCLOG65MCRIP_27635.xlsx,National
CCLOG65MCROP_PY_27015.xlsx,National
CCLOG24MCRIP_D_27722.xlsx,National
CCLOG65MCRIPB_PY_34410.xlsx,National
CCLOG65MCRIP_PY_27722.xlsx,National
CCLOG24MCRIP_D_08621.xlsx,National
CCLOG24MCRIPF_D_34224.xlsx,National
CCLOG65MCRIP_PY_27670.xlsx,National
CCLOG24MCRIPB_D_27620.xlsx,National
CCLOG65MCRIPB_27670.xlsx,National
CCLOG65MCROPCAH_PY_31767.xlsx,National
CCLOG65MCROP_27015.xlsx,National
CCLOG24MCRIPB_D_27722.xlsx,National
CCLOG24MCRIPB_PY_D_08409.xlsx,National
CCLOG65MCRIPB_08621.xlsx,National
CCLOG24MCRIPB_PY_D_27015.xlsx,National
CCLOG24MCRIPB_D_36244.xlsx,National
CCLOG65MCRIP_27651.xlsx,National
CCLOG24MCRIPSWB_D_31767.xlsx,National
CCLOG24MCROP_D_08409.xlsx,National
CCLOG24MCRIPB_PY_D_27645.xlsx,National
